source,destination,operating_days,time,bus_route_id,price,duration
Nottingham,Leicester,Weekdays,09:00,NLE01,10.00,0h 45m
Nottingham,Leicester,Weekdays,14:00,NLE01,10.00,0h 45m
Leicester,Nottingham,Weekdays,10:00,LEN01,10.00,0h 45m
Leicester,Nottingham,Weekdays,15:00,LEN01,10.00,0h 45m
Brighton,Southampton,Weekends,10:00,BSO01,18.00,1h 30m
Brighton,Southampton,Weekends,15:00,BSO01,18.00,1h 30m
Southampton,Brighton,Weekends,11:00,SBR01,18.00,1h 30m
Southampton,Brighton,Weekends,16:00,SBR01,18.00,1h 30m
London,Nottingham,Weekdays,08:30,LNO01,20.00,3h 0m
London,Nottingham,Weekdays,14:30,LNO01,20.00,3h 0m
Nottingham,London,Weekdays,09:30,NLO01,20.00,3h 0m
Nottingham,London,Weekdays,15:30,NLO01,20.00,3h 0m
Birmingham,Sheffield,Weekends,10:00,BSF01,19.00,2h 15m
Birmingham,Sheffield,Weekends,16:00,BSF01,19.00,2h 15m
Sheffield,Birmingham,Weekends,11:00,SBH01,19.00,2h 15m
Sheffield,Birmingham,Weekends,17:00,SBH01,19.00,2h 15m
Manchester,Nottingham,Everyday,09:00,MNO01,16.00,1h 45m
Manchester,Nottingham,Everyday,15:00,MNO01,16.00,1h 45m
Nottingham,Manchester,Everyday,10:00,NMA01,16.00,1h 45m
Nottingham,Manchester,Everyday,16:00,NMA01,16.00,1h 45m
Leeds,Sheffield,Everyday,08:00,LSF01,12.00,1h 0m
Leeds,Sheffield,Everyday,14:00,LSF01,12.00,1h 0m
Sheffield,Leeds,Everyday,09:00,SLE01,12.00,1h 0m
Sheffield,Leeds,Everyday,15:00,SLE01,12.00,1h 0m
Leeds,Nottingham,Weekdays,08:00,LEN02,17.00,2h 15m
Leeds,Nottingham,Weekdays,13:00,LEN02,17.00,2h 15m
Nottingham,Leeds,Weekdays,09:00,NLE02,17.00,2h 15m
Nottingham,Leeds,Weekdays,14:00,NLE02,17.00,2h 15m
Edinburgh,Newcastle,Everyday,09:00,ENE01,20.00,2h 30m
Edinburgh,Newcastle,Everyday,14:00,ENE01,20.00,2h 30m
Newcastle,Edinburgh,Everyday,10:00,NEE01,20.00,2h 30m
Newcastle,Edinburgh,Everyday,15:00,NEE01,20.00,2h 30m
Cardiff,London,Everyday,08:00,CLO01,25.00,3h 45m
Cardiff,London,Everyday,14:00,CLO01,25.00,3h 45m
London,Cardiff,Everyday,09:00,LCA01,25.00,3h 45m
London,Cardiff,Everyday,15:00,LCA01,25.00,3h 45m
Southampton,London,Everyday,08:30,SLO01,19.00,2h 15m
Southampton,London,Everyday,14:30,SLO01,19.00,2h 15m
London,Southampton,Everyday,09:30,LSO01,19.00,2h 15m
London,Southampton,Everyday,15:30,LSO01,19.00,2h 15m
